"ageOfVehicle","carMake","created","email","id","lastName","carModel","firstName","manufacturedDate","vinNumber"
1,"GMC","2021-04-25T00:37:56.703452","Karlskogax",1,"Tootell","1500","Heath","1985-03-02","WBALW7C58CD028568"
1,"Mercedes-Benz","2021-04-25T00:37:56.703452","Wangbuzhuang",2,"Creagh","S-Class","Silva","1989-08-06","SCFEBBCF8BG727829"
1,"Volvo","2021-04-25T00:37:56.703452","Changting",3,"Cogdon","C70","Nyssa","1982-07-25","3VW4A7AT9DM163083"
1,"Subaru","2021-04-25T00:37:56.703452","Mŭglizh",4,"Zarfati","Impreza","Caprice","1983-11-22","JA32U2FU5FU535571"
1,"Volkswagen","2021-04-25T00:37:56.703452","Manado",5,"Yglesias","Passat","Dennie","1985-03-21","WBA3D5C52EF250203"
1,"Chevrolet","2021-04-25T00:37:56.703452","Kara Suu",6,"Critzen","Tahoe","Bryna","1983-03-11","WBAVM1C51DV755171"
1,"Chrysler","2021-04-25T00:37:56.703452","Jacksonville",7,"Zuenelli","Sebring","Fae","1988-11-01","2C3CCAGG9EH575833"
1,"Ford","2021-04-25T00:37:56.703452","Purranque",8,"Chessill","F450","Kally","1986-10-01","1FTMF1E87AK069355"
1,"Nissan","2021-04-25T00:37:56.703452","Strohonivka",9,"Parfett","280ZX","Raffarty","1985-11-22","1D7RV1GT1BS010290"
1,"Ford","2021-04-25T00:37:56.703452","Lizhai",10,"Fickling","E350","Ruddy","1987-07-08","JHMZE2H34CS080848"
1,"Lotus","2021-04-25T00:37:56.703452","Xiamayu",11,"Feldharker","Elan","Renata","1988-11-09","5FRYD3H47EB136973"
1,"Volvo","2021-04-25T00:37:56.703452","Butere",12,"Castagnone","240","Florinda","1987-05-25","WBAKB0C56BC647513"
1,"BMW","2021-04-25T00:37:56.703452","Kyzyl-Burun",13,"Allinson","X6 M","Tilda","1987-11-11","1FT7W2A61EE209640"
1,"Ford","2021-04-25T00:37:56.703452","Pericik",14,"Larmett","Explorer","Ramsay","1988-10-28","WBSKG9C52CE366476"
1,"Isuzu","2021-04-25T00:37:56.703452","Giesteira",15,"Skym","Trooper","Viv","1984-03-01","YV4902DZ4E2108061"
1,"Dodge","2021-04-25T00:37:56.703452","Orivesi",16,"Southard","Ram Van B350","Hasty","1987-06-01","SCBFT7ZA9EC113718"
1,"Mitsubishi","2021-04-25T00:37:56.703452","Várzea da Serra",17,"Pond","Mirage","Inger","1988-10-05","JTDZN3EU1E3209081"
1,"BMW","2021-04-25T00:37:56.703452","Tuochuan",18,"Mowling","M5","Audie","1982-03-16","SCBBB7ZH1FC359341"
1,"Saturn","2021-04-25T00:37:56.703452","Sapol",19,"Hadlee","VUE","Hoyt","1989-08-24","4A31K5DF8CE215740"
1,"Porsche","2021-04-25T00:37:56.703452","Taozixi",20,"Tiller","944","Hyman","1987-06-18","1FTMF1E86AF529923"
1,"Jeep","2021-04-25T00:37:56.703452","Yao’an",21,"Mayling","Patriot","Elfrida","1986-05-09","WBA3X9C52ED613027"
1,"Mitsubishi","2021-04-25T00:37:56.703452","Capitán Bermúdez",22,"Haccleton","Outlander Sport","Steffi","1989-05-31","1N6AA0CC1CN702484"
1,"Toyota","2021-04-25T00:37:56.703452","Narol",23,"Shank","4Runner","Mychal","1989-05-12","1GYUCAEFXAR379172"
1,"Audi","2021-04-25T00:37:56.703452","Baiyang",24,"Hamil","S4","Brent","1986-06-14","1GYEE637190011146"
1,"Toyota","2021-04-25T00:37:56.703452","Mvomero",25,"Peebles","Supra","Beatrice","1990-05-02","WBAKF5C55DE625060"
1,"Ford","2021-04-25T00:37:56.703452","Zalewo",26,"De Roeck","Thunderbird","Imogen","1986-08-22","WA1YD64B25N609200"
1,"Honda","2021-04-25T00:37:56.703452","Yeysk",27,"Treace","Odyssey","Letta","1984-12-08","KNDJN2A23E7639909"
1,"Chevrolet","2021-04-25T00:37:56.703452","Quinua",28,"Sellner","Avalanche","Robenia","1986-09-08","WDDEJ8GBXAA255913"
1,"Chevrolet","2021-04-25T00:37:56.703452","Berlin",29,"Phittiplace","Express 3500","Berthe","1987-04-27","WDDHF5KB7EA923502"
1,"Subaru","2021-04-25T00:37:56.703452","Ampasimanolotra",30,"Illes","Tribeca","Monti","1983-02-10","2G61P5S36E9718611"
1,"Dodge","2021-04-25T00:37:56.703452","Stockholm",31,"Geraldez","Ram Van 3500","Norene","1982-04-03","SCFBF04B78G636020"
1,"Volvo","2021-04-25T00:37:56.703452","Antsohimbondrona",32,"Dracey","V70","Sam","1986-02-06","JTMHY7AJ0E4188479"
1,"GMC","2021-04-25T00:37:56.703452","Succha",33,"Titman","Sierra","Chic","1985-02-21","3VW507AT3EM277914"
1,"Ford","2021-04-25T00:37:56.703452","Snizhne",34,"Voelker","Focus","Erskine","1986-04-19","1FTEW1CMXEF680371"
1,"Volkswagen","2021-04-25T00:37:56.703452","Dillenburg",35,"Silwood","Jetta","Stacey","1987-11-19","WAUET48H05K725203"
1,"Mazda","2021-04-25T00:37:56.703452","Rumburk",36,"Kingscote","Tribute","Mab","1986-02-20","WA1VKBFPXAA749555"
